1961 4605 10
1947 4575 50
234 1085 6
1442 666 21
123 666 15
1732 1261 10
2243 1261 16
1679 1261 16
856 1261 22
1367 1261 10
293 1261 4
767 1261 10
2443 1261 7
1115 1261 28
2389 1261 33
599 1261 3
1145 1261 13
1856 1261 66
1339 1261 50
695 1261 4
1166 1261 20
1006 1261 100
2327 5262 12
55 389 38
1863 4422 12
48 351 9
1339 351 50
593 351 10
284 351 5
856 351 22
862 730 8
1432 730 11
747 730 5
419 730 10
1514 730 10
141 730 23
1261 3402 5
2448 5475 9
2464 3480 100
1301 3480 100
1207 3297 4
1264 3405 66
632 1097 60
1782 1097 46
236 1097 9
327 1097 6
1243 1097 34
1366 3596 6
1782 4288 20
369 1464 8
2116 4855 6
1715 430 66
63 430 12
1847 3083 20
1095 3083 8
2102 3083 16
1209 3083 20
2249 5110 33
15 120 33
2021 4691 33
1492 3828 4
1492 3830 4
1953 4587 3
2477 5527 11
533 1887 4
788 2463 7
273 1191 28
1339 1191 50
1061 1191 22
2132 1191 100
1339 3546 50
1602 3546 25
1366 3598 6
2046 4741 6
160 806 7
243 806 5
548 806 9
1243 806 57
676 806 7
2174 806 100
844 806 6
632 806 31
1782 806 46
1897 806 50
1485 806 66
39 286 11
1177 286 7
1205 3258 9
1177 3258 13
758 2395 100
2077 4793 34
2325 5252 8
318 1326 9
237 1100 100
2395 5363 20
331 1363 17
555 1949 21
1778 1096 7
632 1096 15
2217 1096 6
1243 1096 51
2238 1096 71
236 1096 11
1919 1096 53
676 1096 8
548 1096 44
1763 1096 5
243 1096 5
271 1096 3
377 1096 100
206 976 NA
2265 5137 6
1107 3102 6
1778 611 9
1919 611 28
894 611 25
1943 611 3
2389 611 33
446 611 20
243 611 9
758 611 50
1405 611 14
980 611 24
236 611 11
2110 611 25
1559 611 6
377 611 100
106 611 17
1450 611 21
2238 611 85
908 2704 NA
499 1806 17
365 1454 8
1715 318 33
2354 318 100
1110 318 38
270 318 14
502 318 9
1464 318 6
2266 318 4
1567 318 25
2256 318 17
1524 318 9
2046 318 5
368 318 40
1387 318 11
2217 318 4
570 318 17
813 318 88
2389 318 33
2135 318 60
243 318 5
806 318 12
362 318 5
1005 318 4
43 318 4
1451 318 45
1216 318 15
1388 318 39
1817 318 34
1983 318 8
1943 318 3
236 318 9
1920 318 69
2238 318 85
1069 318 82
310 318 42
1871 318 6
388 318 7
535 318 47
259 318 10
2264 318 44
2110 318 25
2047 318 33
1822 318 8
146 318 30
567 318 22
894 318 25
111 318 18
106 318 70
1446 318 5
828 318 35
575 318 3
429 318 37
998 318 5
2286 318 72
478 318 10
146 742 23
1140 1748 12
481 1748 16
788 2464 7
949 2795 17
2263 2795 12
2281 265 25
337 265 3
476 265 32
495 265 100
963 265 44
754 265 17
2046 265 17
1823 265 40
2047 265 33
43 265 9
383 265 28
2343 265 6
1982 265 100
697 265 10
1175 265 16
2465 265 100
404 265 100
1005 265 5
2079 265 100
344 265 100
1740 265 12
975 265 66
2191 265 33
1129 265 46
631 265 100
744 265 11
1603 265 45
338 265 9
1216 265 11
1432 265 77
